from,to,weight
N464,N466,50.0
N466,N467,50.0
N467,N468,50.0
N468,N469,50.0
N469,N470,50.0
N470,N471,50.0
N471,N472,50.0
N472,N465,75.0
N465,N474,50.0
N474,N475,50.0
N475,N476,50.01
N476,N477,50.0
N477,N478,50.0
N478,N479,50.0
N479,N480,50.0
N480,N481,50.0
N481,N482,50.01
N482,N483,50.0
N483,N484,50.0
N484,N485,50.0
N485,N486,50.0
N486,N487,50.0
N487,N488,50.01
N488,N489,50.0
N489,N473,75.0
N473,N491,50.0
N491,N492,50.0
N492,N493,50.0
N493,N494,50.0
N494,N495,50.0
N495,N496,50.0
N496,N497,50.0
N497,N498,50.0
N498,N490,87.0
N500,N501,50.0
N501,N502,50.0
N502,N503,50.0
N504,N499,91.0
N507,N508,50.0
N508,N506,53.0
N506,N509,81.222
N509,N510,58.6
N510,N512,50.0
N512,N513,50.0
N513,N514,50.0
N514,N515,50.0
N515,N511,75.0
N165,N498,1.163
N165,N490,1.317
N165,N166,1.821
N166,N498,1.172
N166,N490,1.402
N167,N494,1.065
N167,N495,1.065
N167,N169,1.182
N168,N495,1.093
N168,N494,1.146
N168,N496,1.753
N169,N493,1.05
N169,N494,1.209
N170,N491,1.016
N170,N473,1.293
N170,N492,1.547
N171,N172,0.742
N171,N487,0.967
N171,N488,1.288
N172,N486,1.088
N172,N487,1.194
N173,N477,1.118
N173,N478,1.36
N173,N476,1.628
N174,N475,1.203
N174,N476,1.234
N174,N173,1.76
N175,N470,1.087
N175,N471,1.304
N175,N469,1.631
N176,N479,0.962
N176,N500,1.042
N176,N478,1.344
N177,N180,0.751
N177,N503,0.793
N177,N504,1.41
N178,N504,0.688
N178,N179,1.0
N178,N181,1.002
N179,N504,0.595
N179,N182,0.94
N180,N504,0.849
N180,N503,1.166
N181,N499,0.749
N181,N182,1.062
N182,N499,0.651
N182,N183,0.912
N183,N499,0.447
N183,N181,1.16
N184,N511,0.685
N184,N185,1.489
N184,N515,1.72
N185,N511,2.157
N185,N515,2.97
N186,N505,0.941
N186,N507,1.061
N186,N465,1.137
N464,N466,1.0
N464,N467,2.0
N464,N468,3.0
N465,N505,0.68
N465,N474,1.0
N466,N467,1.0
N466,N468,2.0
N467,N468,1.0
N468,N469,1.0
N469,N470,1.0
N470,N471,1.0
N471,N472,1.0
N472,N505,0.82
N472,N186,1.274
N473,N491,1.0
N473,N489,1.5
N474,N475,1.0
N474,N505,1.209
N475,N476,1.0
N476,N477,1.0
N477,N478,1.0
N478,N479,1.0
N479,N480,1.0
N480,N481,1.0
N480,N176,1.43
N481,N482,1.0
N481,N479,2.0
N482,N483,1.0
N482,N484,2.0
N483,N484,1.0
N483,N485,2.0
N484,N485,1.0
N485,N486,1.0
N485,N172,1.716
N486,N487,1.0
N487,N488,1.0
N488,N489,1.0
N489,N491,1.803
N490,N498,1.74
N491,N492,1.0
N492,N493,1.0
N493,N494,1.0
N494,N495,1.0
N495,N496,1.0
N496,N497,1.0
N497,N498,1.0
N497,N166,1.943
N500,N501,1.0
N500,N479,2.0
N501,N502,1.0
N501,N503,2.0
N502,N503,1.0
N502,N177,1.717
N506,N508,1.06
N506,N509,1.624
N506,N507,2.06
N507,N508,1.0
N507,N505,2.0
N508,N509,1.873
N509,N510,1.172
N510,N512,1.0
N510,N513,2.0
N511,N515,1.5
N512,N513,1.0
N512,N509,1.943
N513,N514,1.0
N514,N515,1.0
N514,N512,2.0
