id,x,y,name,type,floor
N144,2382.0,686.0,ห้องบรรยายคอมพิวเตอร์ 8,room,6
N145,2007.0,686.0,ห้องบรรยายคอมพิวเตอร์ 7,room,6
N146,2010.0,861.0,ห้องเก็บของ,room,6
N147,2323.0,861.0,ห้องชมรม,room,6
N148,2457.0,861.0,ห้องพักบุคลากร,room,6
N149,2373.0,1046.0,ห้องบรรยายคอมพิวเตอร์ 6,room,6
N150,2010.0,1036.0,ห้องบรรยายคอมพิวเตอร์ 5,room,6
N151,1929.0,1114.0,Server,room,6
N152,1751.0,993.0,ห้องปฏิบัติการคอมพิวเตอร์ 3,room,6
N153,1748.0,733.0,ห้องปฏิบัติการคอมพิวเตอร์ 4,room,6
N154,1472.0,974.0,ห้องปฏิบัติการคอมพิวเตอร์ 2,room,6
N155,1485.0,683.0,ห้องปฏิบัติการคอมพิวเตอร์ 1,room,6
N156,1201.0,1068.0,ห้องสำนักงาน 2601,room,6
N157,1132.0,1183.0,ห้องค้นคว้า,room,6
N158,1060.0,652.0,ห้องประชุมสาขาวิชา,room,6
N159,1910.0,1280.0,ห้องน้ำหญิง,room,6
N160,1576.0,1271.0,ห้องน้ำชาย,room,6
N161,1435.0,1289.0,ลิฟท์ ชั้น 6,elevator,6
N162,2069.0,1274.0,บันไดกลาง,stair,6
N163,2185.0,683.0,บันไดขวา,stair,6
N164,1319.0,752.0,บันไดซ้าย,stair,6
N165,2135.0,764.0,Door N165,door,6
N166,2238.0,761.0,Door N166,door,6
N167,2138.0,918.0,Door N167,door,6
N168,2235.0,921.0,Door N168,door,6
N169,2135.0,961.0,Door N169,door,6
N170,2235.0,964.0,Door N170,door,6
N171,1610.0,1136.0,Door N171,door,6
N172,1573.0,1139.0,Door N172,door,6
N173,1576.0,774.0,Door N173,door,6
N174,1598.0,777.0,Door N174,door,6
N175,1610.0,858.0,Door N175,door,6
N176,1369.0,1099.0,Door N176,door,6
N177,1366.0,780.0,Door N177,door,6
N178,1272.0,1049.0,Door N178,door,6
N179,1269.0,1161.0,Door N179,door,6
N180,1138.0,696.0,Door N180,door,6
N181,2016.0,1236.0,Door N181,door,6
N182,1985.0,1236.0,Door N182,door,6
N183,1523.0,1236.0,Door N183,door,6
N184,1435.0,1236.0,Door N184,door,6
N185,2404.0,921.0,Door N185,door,6
N516,1320.0,777.0,corr N516,corridor,6
N517,1313.0,1177.0,corr N517,corridor,6
N518,1319.0,827.0,corr N518,corridor,6
N519,1318.0,877.0,corr N519,corridor,6
N520,1317.0,927.0,corr N520,corridor,6
N521,1317.0,977.0,corr N521,corridor,6
N522,1316.0,1027.0,corr N522,corridor,6
N523,1315.0,1077.0,corr N523,corridor,6
N524,1314.0,1127.0,corr N524,corridor,6
N525,2188.0,1180.0,corr N525,corridor,6
N526,1363.0,1177.0,corr N526,corridor,6
N527,1413.0,1177.0,corr N527,corridor,6
N528,1463.0,1178.0,corr N528,corridor,6
N529,1513.0,1178.0,corr N529,corridor,6
N530,1563.0,1178.0,corr N530,corridor,6
N531,1613.0,1178.0,corr N531,corridor,6
N532,1663.0,1178.0,corr N532,corridor,6
N533,1713.0,1178.0,corr N533,corridor,6
N534,1763.0,1179.0,corr N534,corridor,6
N535,1813.0,1179.0,corr N535,corridor,6
N536,1863.0,1179.0,corr N536,corridor,6
N537,1913.0,1179.0,corr N537,corridor,6
N538,1963.0,1179.0,corr N538,corridor,6
N539,2013.0,1179.0,corr N539,corridor,6
N540,2063.0,1180.0,corr N540,corridor,6
N541,2113.0,1180.0,corr N541,corridor,6
N542,2188.0,712.0,corr N542,corridor,6
N543,2188.0,1130.0,corr N543,corridor,6
N544,2188.0,1080.0,corr N544,corridor,6
N545,2188.0,1030.0,corr N545,corridor,6
N546,2188.0,980.0,corr N546,corridor,6
N547,2188.0,930.0,corr N547,corridor,6
N548,2188.0,880.0,corr N548,corridor,6
N549,2188.0,830.0,corr N549,corridor,6
N550,2188.0,780.0,corr N550,corridor,6
N551,1620.0,777.0,corr N551,corridor,6
N552,1615.0,1078.0,corr N552,corridor,6
N553,1616.0,1028.0,corr N553,corridor,6
N554,1616.0,978.0,corr N554,corridor,6
N555,1617.0,928.0,corr N555,corridor,6
N556,1618.0,878.0,corr N556,corridor,6
N557,1619.0,828.0,corr N557,corridor,6
N558,1520.0,777.0,corr N558,corridor,6
N559,1470.0,777.0,corr N559,corridor,6
N560,1420.0,777.0,corr N560,corridor,6
N561,1573.0,1089.0,corr N561,corridor,6
N562,1574.0,1039.0,corr N562,corridor,6
N563,1574.0,989.0,corr N563,corridor,6
N564,1575.0,939.0,corr N564,corridor,6
N565,1575.0,889.0,corr N565,corridor,6
N566,1575.0,839.0,corr N566,corridor,6
N567,2288.0,926.0,corr N567,corridor,6
N568,2338.0,924.0,corr N568,corridor,6
N569,1163.0,1030.0,corr N569,corridor,6
N570,1223.0,1040.0,corr N570,corridor,6
N571,1166.0,699.0,corr N571,corridor,6
N572,1163.0,980.0,corr N572,corridor,6
N573,1164.0,930.0,corr N573,corridor,6
N574,1164.0,880.0,corr N574,corridor,6
N575,1165.0,830.0,corr N575,corridor,6
N576,1165.0,780.0,corr N576,corridor,6
