from,to,weight
N363,N365,50.0
N365,N366,50.0
N366,N367,50.0
N367,N368,50.0
N368,N369,50.0
N369,N370,50.0
N370,N371,50.0
N371,N372,50.0
N372,N373,50.0
N373,N374,50.0
N374,N375,50.0
N375,N376,50.0
N376,N377,50.0
N377,N378,50.0
N378,N379,50.0
N379,N364,81.0
N381,N382,50.0
N382,N383,50.0
N383,N384,50.0
N384,N380,66.0
N378,N137,62.968
N137,N386,50.01
N387,N385,57.035
N373,N389,50.01
N389,N390,50.01
N390,N391,50.01
N391,N392,50.01
N392,N393,50.01
N393,N394,50.0
N394,N395,50.01
N395,N396,50.01
N396,N397,50.01
N397,N398,50.01
N398,N399,50.01
N399,N400,50.01
N400,N401,50.01
N401,N402,50.01
N402,N403,50.01
N403,N404,50.01
N404,N388,75.007
N388,N406,50.0
N406,N407,50.0
N407,N408,50.0
N408,N409,50.0
N409,N410,50.0
N410,N411,50.0
N411,N412,50.0
N412,N413,50.0
N413,N414,50.0
N414,N405,53.0
N398,N416,50.0
N416,N417,50.0
N417,N418,50.0
N418,N419,50.0
N419,N420,50.0
N420,N421,50.0
N421,N415,85.0
N422,N424,50.0
N424,N425,50.01
N425,N426,50.0
N426,N415,47.676
N427,N429,50.01
N429,N430,50.0
N430,N431,50.01
N431,N432,50.0
N432,N428,82.006
N428,N434,49.93
N434,N435,49.93
N435,N436,49.93
N436,N437,49.93
N437,N433,64.351
N423,N439,50.22
N439,N440,50.0
N440,N441,50.22
N441,N438,85.212
N422,N443,50.249
N443,N444,49.396
N445,N442,77.175
N448,N447,97.0
N447,N450,50.01
N450,N451,50.04
N451,N452,50.01
N452,N453,50.01
N453,N454,50.04
N454,N455,50.01
N455,N456,50.01
N456,N457,50.04
N457,N458,50.01
N458,N459,50.01
N459,N449,56.036
N453,N460,46.4
N460,N461,50.0
N461,N462,50.0
N462,N463,50.01
N098,N388,1.126
N098,N406,1.228
N098,N407,1.936
N099,N410,1.038
N099,N411,1.094
N099,N409,1.72
N100,N101,1.06
N100,N102,1.209
N100,N103,1.58
N101,N102,0.683
N101,N104,1.585
N102,N104,2.261
N103,N104,0.94
N103,N101,1.903
N104,N100,1.838
N105,N411,0.835
N105,N412,1.103
N105,N106,1.38
N106,N413,0.886
N106,N412,1.012
N107,N433,0.42
N107,N408,1.186
N107,N409,1.472
N108,N428,0.645
N108,N109,0.942
N108,N432,1.002
N109,N415,1.016
N109,N428,1.237
N110,N422,0.393
N110,N424,0.628
N110,N111,0.822
N111,N427,0.33
N111,N429,0.687
N112,N418,0.74
N112,N113,0.987
N112,N419,1.228
N113,N418,0.377
N113,N419,0.709
N114,N416,0.46
N114,N417,0.54
N114,N398,1.46
N115,N371,1.07
N115,N370,1.177
N115,N372,1.704
N116,N366,1.282
N116,N367,1.282
N116,N117,1.44
N117,N365,1.182
N117,N366,1.509
N118,N373,0.35
N118,N374,0.723
N118,N389,0.88
N119,N447,0.9
N119,N450,1.9
N119,N448,2.139
N120,N446,0.821
N120,N372,0.873
N120,N373,1.078
N121,N452,0.467
N121,N451,0.752
N121,N453,1.368
N122,N454,0.762
N122,N455,1.091
N122,N123,1.385
N123,N461,0.295
N123,N454,0.707
N123,N460,0.753
N124,N460,0.295
N124,N453,0.638
N124,N454,0.779
N125,N458,0.442
N125,N459,1.048
N125,N457,1.137
N126,N449,0.563
N126,N459,1.289
N126,N128,1.738
N127,N463,0.623
N127,N457,0.8
N127,N458,1.146
N128,N458,0.985
N128,N459,1.022
N128,N127,1.301
N130,N131,0.685
N130,N402,0.71
N130,N403,1.137
N131,N401,0.744
N131,N402,0.835
N132,N392,0.581
N132,N393,0.916
N132,N391,1.356
N133,N391,0.608
N133,N390,0.688
N133,N392,1.506
N134,N438,0.504
N134,N405,1.252
N134,N414,1.969
N135,N442,0.326
N135,N445,1.777
N135,N363,2.313
N136,N381,0.94
N136,N364,1.06
N136,N139,1.872
N137,N139,0.482
N137,N138,0.497
N137,N386,1.0
N138,N139,0.683
N138,N386,0.707
N139,N386,0.76
N140,N376,1.203
N140,N375,1.252
N140,N377,1.824
N141,N380,0.822
N141,N384,1.503
N141,N383,2.404
N142,N412,0.97
N142,N413,1.209
N142,N411,1.556
N143,N414,0.888
N143,N413,1.245
N143,N405,1.472
N363,N365,1.0
N363,N117,1.586
N363,N366,2.0
N364,N379,1.62
N364,N381,2.0
N365,N366,1.0
N366,N367,1.0
N367,N368,1.0
N368,N369,1.0
N368,N116,1.909
N369,N370,1.0
N369,N115,1.904
N370,N371,1.0
N371,N372,1.0
N372,N446,0.26
N373,N446,0.74
N373,N372,1.0
N374,N373,1.0
N374,N375,1.0
N375,N376,1.0
N376,N377,1.0
N377,N378,1.0
N378,N379,1.0
N378,N137,1.259
N379,N137,1.306
N379,N139,1.513
N380,N384,1.32
N380,N385,2.29
N381,N382,1.0
N381,N139,1.887
N382,N383,1.0
N382,N136,1.94
N383,N384,1.0
N383,N381,2.0
N385,N387,1.141
N385,N384,2.085
N387,N386,2.001
N387,N383,2.108
N388,N406,1.0
N388,N404,1.5
N389,N373,1.0
N389,N390,1.0
N390,N391,1.0
N391,N392,1.0
N392,N393,1.0
N393,N394,1.0
N394,N395,1.0
N394,N132,1.822
N395,N396,1.0
N395,N393,2.0
N396,N397,1.0
N396,N394,2.0
N397,N398,1.0
N397,N416,1.428
N398,N416,1.0
N398,N399,1.0
N399,N400,1.0
N399,N416,1.4
N400,N401,1.0
N400,N131,1.552
N401,N402,1.0
N403,N402,1.0
N403,N404,1.0
N404,N406,1.814
N405,N414,1.06
N405,N438,1.182
N406,N407,1.0
N407,N408,1.0
N407,N107,1.627
N408,N409,1.0
N409,N410,1.0
N409,N433,1.449
N410,N411,1.0
N411,N412,1.0
N412,N413,1.0
N413,N414,1.0
N415,N426,0.954
N415,N432,1.182
N416,N417,1.0
N417,N418,1.0
N419,N418,1.0
N419,N420,1.0
N420,N421,1.0
N420,N432,1.521
N421,N432,0.523
N421,N431,1.074
N422,N111,0.974
N422,N424,1.0
N423,N439,1.004
N423,N428,1.281
N423,N109,1.5
N424,N425,1.0
N425,N426,1.0
N425,N430,1.0
N426,N431,1.02
N427,N110,0.977
N427,N422,1.0
N428,N434,0.999
N429,N430,1.0
N429,N427,1.0
N430,N431,1.0
N431,N432,1.0
N433,N437,1.287
N433,N408,1.449
N434,N435,0.999
N434,N423,1.541
N435,N436,0.999
N435,N428,1.997
N436,N437,0.999
N436,N434,1.997
N437,N107,1.66
N438,N414,1.627
N439,N440,1.0
N439,N441,2.004
N440,N441,1.004
N440,N423,2.004
N441,N438,1.704
N442,N445,1.544
N442,N363,2.09
N443,N444,0.988
N443,N422,1.005
N443,N110,1.386
N444,N422,1.993
N444,N445,2.01
N447,N450,1.0
N447,N448,1.94
N448,N120,1.181
N448,N446,2.0
N449,N459,1.121
N449,N128,1.88
N450,N451,1.001
N450,N121,1.703
N451,N452,1.0
N452,N453,1.0
N453,N460,0.928
N455,N461,0.913
N455,N123,0.962
N455,N462,0.977
N456,N462,0.931
N456,N463,0.977
N456,N455,1.0
N457,N463,0.948
N457,N458,1.0
N459,N458,1.0
N460,N454,0.896
N461,N454,0.96
N462,N461,1.0
