from,to,weight
N062,N339,1.499
N062,N338,2.29
N063,N322,0.671
N063,N321,1.088
N063,N323,1.3
N276,N278,1.0
N276,N279,2.0
N277,N324,0.42
N278,N279,1.0
N279,N280,1.0
N280,N281,1.0
N281,N282,1.0
N282,N283,1.0
N283,N284,1.0
N284,N285,1.0
N284,N061,1.36
N285,N307,0.44
N286,N287,1.0
N286,N051,1.547
N287,N288,1.0
N288,N289,1.0
N289,N290,1.0
N289,N324,1.94
N290,N324,0.94
N290,N277,1.36
N291,N293,1.0
N291,N295,1.0
N292,N293,1.0
N294,N296,1.36
N296,N295,1.0
N297,N299,1.0
N297,N300,2.0
N298,N308,1.0
N298,N360,1.001
N298,N306,1.82
N299,N300,1.0
N300,N301,1.0
N301,N302,1.0
N302,N303,1.0
N303,N304,1.0
N304,N305,1.0
N304,N302,2.0
N305,N306,1.0
N305,N303,2.0
N306,N304,2.0
N307,N323,1.12
N308,N309,1.0
N308,N310,2.0
N309,N310,1.0
N309,N038,1.358
N310,N311,1.0
N312,N313,1.0
N312,N311,1.0
N312,N039,1.14
N313,N314,1.0
N313,N341,1.428
N314,N315,1.0
N314,N341,1.0
N315,N316,1.0
N315,N341,1.414
N316,N317,1.0
N316,N314,2.0
N317,N318,1.0
N317,N315,2.0
N318,N319,1.0
N318,N316,2.0
N319,N320,1.0
N320,N321,1.0
N321,N322,1.0
N322,N323,1.0
N323,N285,1.229
N325,N326,1.201
N325,N333,1.598
N325,N332,1.641
N326,N324,2.004
N327,N330,1.011
N327,N328,1.123
N327,N331,1.996
N328,N330,1.836
N329,N336,1.164
N329,N335,2.175
N329,N334,3.16
N330,N331,0.985
N331,N332,1.011
N332,N333,0.985
N333,N334,1.011
N334,N335,0.985
N334,N332,1.996
N335,N336,1.011
N335,N333,1.996
N336,N334,1.996
N337,N339,1.101
N337,N338,2.102
N338,N339,1.001
N338,N283,2.001
N340,N349,1.04
N341,N342,1.0
N342,N343,1.0
N343,N344,1.0
N343,N351,1.032
N344,N351,0.993
N344,N345,1.0
N345,N354,0.923
N345,N346,1.0
N346,N353,0.943
N346,N347,1.0
N347,N352,0.983
N347,N348,1.0
N350,N352,1.0
N350,N348,1.003
N351,N354,1.381
N352,N353,1.001
N353,N354,1.0
N354,N344,1.301
N355,N348,1.001
N355,N356,1.001
N355,N347,1.386
N356,N045,1.881
N356,N348,2.002
N357,N359,2.361
N358,N359,1.605
N358,N045,2.598
N360,N361,1.001
N361,N362,1.001
