from,to,weight
N276,N278,50.0
N278,N279,50.0
N279,N280,50.01
N280,N281,50.0
N281,N282,50.0
N282,N283,50.0
N283,N284,50.0
N284,N285,50.01
N286,N287,50.0
N287,N288,50.0
N288,N289,50.01
N289,N290,50.0
N290,N277,68.0
N292,N293,50.0
N293,N291,50.0
N291,N295,50.01
N295,N296,50.01
N296,N294,68.007
N297,N299,50.0
N299,N300,50.0
N300,N301,50.0
N301,N302,50.0
N302,N303,50.0
N303,N304,50.0
N304,N305,50.0
N305,N306,50.0
N306,N298,91.0
N298,N308,50.01
N308,N309,50.0
N309,N310,50.01
N310,N311,50.0
N311,N312,50.01
N312,N313,50.0
N313,N314,50.01
N314,N315,50.0
N315,N316,50.01
N316,N317,50.0
N317,N318,50.01
N318,N319,50.0
N319,N320,50.01
N320,N321,50.0
N321,N322,50.01
N322,N323,50.0
N323,N307,56.009
N326,N325,60.075
N328,N327,56.143
N327,N330,50.567
N330,N331,49.244
N331,N332,50.567
N332,N333,49.244
N333,N334,50.567
N334,N335,49.244
N335,N336,50.567
N336,N329,58.181
N338,N339,50.04
N339,N337,55.036
N337,N062,56.08
N314,N341,50.0
N341,N342,50.0
N342,N343,50.0
N343,N344,50.0
N344,N345,50.0
N345,N346,50.0
N346,N347,50.0
N347,N348,50.0
N349,N340,52.0
N348,N350,50.16
N350,N352,50.01
N352,N353,50.04
N353,N354,50.01
N354,N351,69.029
N348,N355,50.04
N355,N356,50.04
N045,N359,49.649
N359,N358,80.231
N298,N360,50.04
N360,N361,50.04
N361,N362,50.04
N029,N300,1.12
N029,N030,1.32
N029,N299,1.501
N030,N301,1.165
N030,N302,1.31
N031,N302,0.898
N031,N303,1.203
N031,N301,1.472
N032,N300,0.882
N032,N301,1.288
N032,N299,1.378
N033,N297,1.012
N033,N299,1.012
N033,N032,1.56
N034,N342,0.456
N034,N341,0.573
N034,N343,1.445
N035,N362,0.405
N035,N361,0.646
N035,N360,1.635
N036,N037,0.44
N036,N362,1.502
N036,N035,1.881
N037,N362,1.942
N037,N035,2.321
N038,N310,0.467
N038,N039,0.623
N038,N311,0.76
N039,N311,0.404
N039,N310,1.022
N040,N320,0.514
N040,N321,1.012
N040,N319,1.219
N041,N348,0.928
N041,N349,1.087
N041,N042,1.118
N042,N350,0.38
N042,N348,0.625
N042,N352,1.063
N043,N044,0.504
N043,N340,0.577
N043,N349,0.645
N044,N340,0.381
N044,N349,1.126
N045,N046,0.4
N045,N359,0.993
N045,N357,1.401
N046,N357,1.06
N046,N359,1.302
N047,N358,0.651
N047,N359,0.963
N047,N045,1.955
N048,N280,0.9
N048,N279,1.344
N048,N281,1.36
N049,N278,1.0
N049,N276,1.265
N049,N279,1.549
N050,N307,0.54
N050,N285,0.98
N050,N286,1.02
N051,N328,1.0
N051,N287,1.016
N051,N288,1.293
N052,N326,0.983
N052,N324,1.021
N052,N277,1.088
N053,N277,0.8
N053,N324,0.904
N053,N292,1.2
N054,N055,0.636
N054,N292,0.781
N054,N293,1.118
N055,N293,0.651
N055,N292,1.012
N056,N057,0.444
N056,N295,0.595
N056,N291,0.7
N057,N295,0.34
N057,N296,1.05
N058,N059,0.462
N058,N294,0.475
N058,N296,1.266
N059,N294,0.397
N059,N296,1.651
N060,N293,0.918
N060,N292,1.15
N060,N295,1.286
N061,N283,0.9
N061,N338,1.101
N061,N282,1.331
N062,N337,1.122
